2022-12-21 00:12:308 INFO  HomePage :52 - Enter job title : tester
2022-12-21 00:12:114 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:454 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:522 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:783 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:908 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:305 INFO  HomePage :57 - Enter location : Harrow
2022-12-21 01:12:419 INFO  HomePage :62 - Select distance : up to 5 miles
2022-12-21 01:12:733 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:540 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:661 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:456 INFO  HomePage :57 - Enter location : Harrow
2022-12-21 01:12:835 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:179 INFO  HomePage :57 - Enter location : Harrow
2022-12-21 01:12:688 INFO  HomePage :62 - Select distance : up to 5 miles
2022-12-21 01:12:948 INFO  HomePage :67 - Click on more search option : [[ChromeDriver: chrome on WINDOWS (4b8054265592d14bfbadc95a538e5c79)] -> id: toggle-hp-search]
2022-12-21 01:12:678 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:99 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:706 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:483 INFO  HomePage :57 - Enter location : Harrow
2022-12-21 01:12:626 INFO  HomePage :62 - Select distance : up to 5 miles
2022-12-21 01:12:31 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:247 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:574 INFO  HomePage :57 - Enter location : Harrow
2022-12-21 01:12:190 INFO  HomePage :62 - Select distance : up to 5 miles
2022-12-21 01:12:463 INFO  HomePage :67 - Click on more search option : [[ChromeDriver: chrome on WINDOWS (4e0d9ce2bb4c65e57ca68cd9f0d81769)] -> id: toggle-hp-search]
2022-12-21 01:12:174 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:405 INFO  HomePage :57 - Enter location : Harrow
2022-12-21 01:12:534 INFO  HomePage :62 - Select distance : up to 5 miles
2022-12-21 01:12:67 INFO  HomePage :67 - Click on more search option : [[ChromeDriver: chrome on WINDOWS (09d575313bb84d547e8c7b72e0026f08)] -> id: toggle-hp-search]
2022-12-21 01:12:571 INFO  HomePage :72 - Enter minimum salary : [[ChromeDriver: chrome on WINDOWS (09d575313bb84d547e8c7b72e0026f08)] -> id: salarymin]
2022-12-21 01:12:631 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:504 INFO  HomePage :57 - Enter location : Harrow
2022-12-21 01:12:652 INFO  HomePage :62 - Select distance : up to 5 miles
2022-12-21 01:12:877 INFO  HomePage :67 - Click on more search option : [[ChromeDriver: chrome on WINDOWS (c61983f9d5c6abe044ad025fe8ddac84)] -> id: toggle-hp-search]
2022-12-21 01:12:127 INFO  HomePage :72 - Enter minimum salary : [[ChromeDriver: chrome on WINDOWS (c61983f9d5c6abe044ad025fe8ddac84)] -> id: salarymin]
2022-12-21 01:12:305 INFO  HomePage :77 - Enter maximum salary : [[ChromeDriver: chrome on WINDOWS (c61983f9d5c6abe044ad025fe8ddac84)] -> id: salarymax]
2022-12-21 01:12:440 INFO  HomePage :82 - Select salary type : [[ChromeDriver: chrome on WINDOWS (c61983f9d5c6abe044ad025fe8ddac84)] -> id: salarytype]
2022-12-21 01:12:568 INFO  HomePage :87 - Select job type : [[ChromeDriver: chrome on WINDOWS (c61983f9d5c6abe044ad025fe8ddac84)] -> id: tempperm]
2022-12-21 01:12:806 INFO  HomePage :92 - Click on find jobs button : [[ChromeDriver: chrome on WINDOWS (c61983f9d5c6abe044ad025fe8ddac84)] -> id: hp-search-btn]
2022-12-21 01:12:440 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:267 INFO  HomePage :57 - Enter location : Harrow
2022-12-21 01:12:454 INFO  HomePage :62 - Select distance : up to 5 miles
2022-12-21 01:12:697 INFO  HomePage :67 - Click on more search option : [[ChromeDriver: chrome on WINDOWS (73bbd12f5036be82f0b73a79094ce2d1)] -> id: toggle-hp-search]
2022-12-21 01:12:23 INFO  HomePage :72 - Enter minimum salary : [[ChromeDriver: chrome on WINDOWS (73bbd12f5036be82f0b73a79094ce2d1)] -> id: salarymin]
2022-12-21 01:12:161 INFO  HomePage :77 - Enter maximum salary : [[ChromeDriver: chrome on WINDOWS (73bbd12f5036be82f0b73a79094ce2d1)] -> id: salarymax]
2022-12-21 01:12:292 INFO  HomePage :82 - Select salary type : [[ChromeDriver: chrome on WINDOWS (73bbd12f5036be82f0b73a79094ce2d1)] -> id: salarytype]
2022-12-21 01:12:413 INFO  HomePage :87 - Select job type : [[ChromeDriver: chrome on WINDOWS (73bbd12f5036be82f0b73a79094ce2d1)] -> id: tempperm]
2022-12-21 01:12:585 INFO  HomePage :92 - Click on find jobs button : [[ChromeDriver: chrome on WINDOWS (73bbd12f5036be82f0b73a79094ce2d1)] -> id: hp-search-btn]
2022-12-21 01:12:986 INFO  HomePage :52 - Enter job title : Tester
2022-12-21 01:12:254 INFO  HomePage :57 - Enter location : East london
2022-12-21 01:12:948 INFO  HomePage :62 - Select distance : up to 10 miles
2022-12-21 01:12:259 INFO  HomePage :67 - Click on more search option : [[ChromeDriver: chrome on WINDOWS (37d4a93327c8a09a3f318054f36a543e)] -> id: toggle-hp-search]
2022-12-21 01:12:472 INFO  HomePage :72 - Enter minimum salary : [[ChromeDriver: chrome on WINDOWS (37d4a93327c8a09a3f318054f36a543e)] -> id: salarymin]
